      1 lengthened	sentences
      1 Legal	rights
      1 legal	Breaking
      1 Legal	Benin
      1 laws	that
      1 laws	have
      1 laws	and
      1 Last	name
      1 large	version
      1 Lambda	is
      1 Kingdom	Section
      1 Kenya	Liberia
      1 Join	our
      1 Join	Donate
      1 Jobs	Shop
      1 January	2014
      1 Ivory	Coast
      1 It	s
      1 It	has
      1 it	down
      1 is	still
      1 Ireland	Scotland
      1 Involved	Join
      1 intersex	LGBTI
      1 International	United
      1 International	About
      1 Inn	Yard
      1 information	with
      1 information	will
      1 information	relevant
      1 information	at
      1 increasing	punishments
      1 in	Uganda
      1 in	touch
      1 in	the
      1 in	Register
      1 in	prison
      1 in	January
      1 In	December
      1 in	Africa
      1 in	a
      1 improve	your
      1 imprisonment	have
      1 impact	we
      1 image	to
      1 illegal	to
      1 Illegal	or
      1 Illegal	Algeria
      1 If	you
      1 I	love
      1 how	we
      1 homosexuality	Nigeria
      1 Homosexuality	Bill
      1 homosexual	sex
      1 homosexual	behavoir
      1 Home	Campaigns
      1 History	Good
      1 hire	Find
      1 help	improve
      1 held	by
      1 have	together
      1 have	had
      1 has	lengthened
      1 harsher	when
      1 harsher	In
      1 had	a
      1 Guinea	Kenya
      1 Guinea	Gabon
      1 Guinea	Bissau
      1 groups	Youth
      1 groups	Student
      1 groups	Regional
      1 Governance	Finances
      1 Google	Follow
      1 Google	Amnesty
      1 Good	news
      1 Ghana	Guinea
      1 Get	Involved
      1 Get	in
      1 gay	in
      1 gay	bisexual
      1 Gambia	Ghana
      1 Gabon	Guinea
      1 fundraising	appeals
      1 full	name
      1 full	equality
      1 found	to
      1 for	saying
      1 for	lesbian
      1 for	full
      1 for	consensual
      1 first	step
      1 First	name
      1 Find	us
      1 Find	out
      1 Finances	FAQs
      1 fight	for
      1 feedback	Venue
      1 Faso	Cape
      1 FAQs	Amnesty
      1 extended	punishments
      1 experience	Find
      1 expect	to
      1 existing	laws
      1 events	and
      1 even	harsher
      1 Ethiopia	Gambia
      1 Eritrea	Ethiopia
      1 era	laws
      1 Equatorial	Guinea
      1 equality	in
      1 emails	about
      1 email	list
      1 Email	address
      1 else	Read
      1 Egypt	Eritrea
      1 EC2A	3EA
      1 down	by
      1 Donate	____________________
      1 Djibouti	Equatorial
      1 diminishing	for
      1 Democratic	Republic
      1 December	2013
      1 Death	penalty
      1 dd	mm
      1 date	of
      1 criminalised	homosexual
      1 country	The
      1 country	Death
      1 Country	Coordinators
      1 Coordinators	Safeguarding
      1 cookies	to
      1 Cookies	statement
      1 continent	Uganda
      1 Contact	us
      1 consensual	homosexual
      1 Congo	Djibouti
      1 Congo	Brazzaville
      1 conditions	of
      1 conditions	Cookies
      1 Comoros	Egypt
      1 Community	rules
      1 colonial	era
      1 Coast	Democratic
      1 Click	on
      1 clause	that
      1 charity	registered
      1 change	Lambda
      1 Chad	Congo
      1 Central	African
      1 Cape	Verde
      1 can	unsubscribe
      1 can	send
      1 can	expect
      1 Campaigns	Get
      1 campaigns	fundraising
      1 Cameroon	Comoros
      1 by	Uganda
      1 by	country
      1 by	Amnesty
      1 But	Uganda
      1 But	there
      1 But	the
      1 But	that
      1 Burundi	Cameroon
      1 Burkina	Faso
      1 Breaking	it
      1 Brazzaville	Ivory
      1 Botswana	Burundi
      1 Blog	A
      1 Bissau	Lesotho
      1 bisexual	transgender
      1 birth	so
      1 Bill	was
      1 Benin	Burkina
      1 behavoir	removing
      1 become	wider
      1 become	even
      1 be	held
      1 be	gay
      1 authorities	tomake
      1 at	any
      1 at	amnesty
      1 As	you
      1 as	an
      1 Are	you
      1 are	under
      1 are	some
      1 are	diminishing
      1 appeals	events
      1 anyone	else
      1 any	time
      1 Anti	Homosexuality
      1 Angola	Botswana
      1 and	Scotland
      1 and	Principe
      1 and	intersex
      1 and	increasing
      1 and	extended
      1 and	conditions
      1 and	Amnesty
      1 and	a
      1 an	NGO
      1 Amnesty	worldwide
      1 amnesty	org
      1 amendments	to
      1 already	outlaws
      1 already	illegal
      1 all	tags
      1 Algeria	Angola
      1 against	nature
      1 African	Republic
      1 African	continent
      1 address	____________________________________________________________
      1 actions	to
      1 Actions	Governance
      1 across	the
      1 Accountability	Supporter
      1 Accessibility	This
      1 About	us
      1 About	this
      1 about	our
      1 about	how
      1 a	same
      1 a	long
      1 A	life
      1 a	large
      1 a	clause
      1 a	charity
      1 70505	Join
      1 48pm	Share
      1 48pm	Click
      1 3EA	Amnesty
      1 25	New
      1 2017	Amnesty
      1 2017	
      1 2014	But
      1 2013	the
      1 18	please
      1 18	_
      1 17	25
      1 1051681	and
      1 03139939	and
      1 01735872	Registered
      1 ____________________________________________________________	Last
      1 ____________________________________________________________	First
      1 ____________________________________________________________	Are
      1 ____________________	Your
      1 ____________________	Submit
      1 ____________________	Search
      1 _	Yes
      1 _	No
