     19 U	S
     17 Same	Sex
     13 Sex	Marriage
     10 same	sex
      7 Kim	Davis
      6 sex	marriage
      4 Gay	Marriage
      3 to	issue
      3 Supreme	Court
      3 sex	couples
      3 S	Kim
      3 of	the
      3 Donald	Trump
      2 World	Same
      2 U	K
      2 to	same
      2 to	marry
      2 The	Supreme
      2 the	public
      2 the	people
      2 the	first
      2 S	Same
      2 S	Kentucky
      2 refusing	to
      2 opposed	by
      2 of	same
      2 my	life
      2 Marriage	Licenses
      2 marriage	licenses
      2 licenses	to
      2 Kentucky	Clerk
      2 issue	licenses
      2 in	Ireland
      2 in	Australia
      2 from	the
      2 for	refusing
      2 Clerk	Kim
      2 Back	Same
      2 at	the
      2 A	bill
      1 日本	한국
      1 한국	Pakistan
      1 your	partner
      1 your	love
      1 your	life
      1 young_people_terrorism_0207	World
      1 Young	People
      1 York	alabama
      1 yes	vote
      1 years	after
      1 year	Same
      1 year	NewsweekGaysUnderFire
      1 www	googletagmanager
      1 writes	what
      1 would	replace
      1 would	protect
      1 worms	Pages
      1 World	World
      1 World	Will
      1 World	Where
      1 World	U
      1 World	s
      1 World	Russian
      1 World	Pictures
      1 World	First
      1 World	Christian
      1 World	Business
      1 World	Bermuda
      1 World	Australians
      1 women	will
      1 woman	who
      1 with	a
      1 will	speak
      1 Will	Run
      1 will	not
      1 Will	Australia
      1 will	allow
      1 why	were
      1 who	sued
      1 who	ruined
      1 who	married
      1 which	has
      1 Where	Is
      1 what	has
      1 were	we
      1 were	surveyed
      1 were	attacked
      1 weekend	I
      1 Wednesday	at
      1 Weddings	The
      1 weddings	in
      1 Wedding	This
      1 wedding	and
      1 we	hanging
      1 way	to
      1 was	terminated
      1 was	jailed
      1 want	Parliament
      1 Wade	is
      1 voted	in
      1 Vote	Richard
      1 vote	next
      1 vote	from
      1 Vote	Backers
      1 vote	against
      1 v	Wade
      1 Us	Travel
      1 Us	Corrections
      1 us	a
      1 Up	About
      1 unfortunately	I
      1 Under	Fire
      1 under	employee
      1 turned	my
      1 Try	to
      1 Trump	Talks
      1 Trump	said
      1 Trump	abortion
      1 Travel	Advertise
      1 Transphobia	and
      1 Top	Alabama
      1 Tolerance	The
      1 told	the
      1 to	vote
      1 to	Thailand
      1 to	terminate
      1 to	Stop
      1 to	show
      1 to	protect
      1 to	Perform
      1 to	perform
      1 to	Nazi
      1 to	marriage
      1 to	legalization
      1 to	lead
      1 to	Gay
      1 to	FADA
      1 to	do
      1 to	come
      1 to	authorize
      1 to	21
      1 time	Patriarch
      1 time	ago
      1 through	me
      1 those	offended
      1 This	weekend
      1 then	partner
      1 the	year
      1 The	woman
      1 The	U
      1 the	state
      1 the	right
      1 the	oppression
      1 The	new
      1 the	love
      1 the	LGBT
      1 the	issue
      1 the	International
      1 the	end
      1 The	Democratic
      1 The	county
      1 the	country
      1 the	church
      1 the	chancellor
      1 the	Associated
      1 that	lets
      1 Than	Ever
      1 than	20
      1 Thailand	will
      1 Texas	The
      1 Terrorism	Report
      1 Terms	of
      1 Terms	Conditions
      1 terminated	from
      1 terminate	pregnancies
      1 Tech	Science
      1 Teacher	Fired
      1 Talks	Same
      1 take	away
      1 Tag	Manager
      1 surveyed	Donald
      1 support	equal
      1 Support	at
      1 Sullivan	at
      1 sued	her
      1 Subscribe	Search
      1 straight	through
      1 Stop	Same
      1 Still	Opposes
      1 still	does
      1 states	10_08_australia_01
