     12 de	même	sexe
      9 le	mariage	homosexuel
      9 de	la	loi
      8 mariage	pour	tous
      7 vie	publique	fr
      7 aux	couples	de
      6 mariage	aux	couples
      6 couples	de	même
      5 Vie	publique	fr
      5 sur	le	mariage
      5 personnes	de	même
      5 le	mariage	aux
      4 procréation	médicalement	assistée
      4 le	mariage	pour
      4 la	procréation	médicalement
      4 de	loiProjet	de
      4 application	de	la
      3 publique	fr	sur
      3 président	de	la
      3 ouvrant	le	mariage
      3 la	loi	de
      3 Dossiers	d	actualité
      3 Direction	de	l
      3 de	la	République
      3 couples	de	femmes
      3 au	mariage	pour
      2 vivant	comme	les
      2 utilisation	des	parties
      2 une	question	prioritaire
      2 une	personne	publique
      2 une	manipulation	du
      2 un	instrument	au
      2 texte	législatif	déposé
      2 sur	le	patrimoine
      2 Sur	la	toile
      2 sur	l	homoparentalité
      2 sur	l	homme
      2 sociétales	posées	par
      2 service	de	la
      2 service	d	adoption
      2 révision	de	la
      2 réforme	de	l
      2 qui	impliquent	une
      2 question	prioritaire	de
      2 publiques	un	instrument
      2 PS	à	l
      2 projet	de	loiProjet
      2 pratiques	du	service
      2 pour	tous	Le
      2 posées	par	les
      2 politiques	publiques	un
      2 PMA	pour	toutes
      2 Pays	Bas	en
      2 patrimoine	génétique	etc
      2 parties	du	corps
      2 Parlement	à	l
      2 parents	et	enfants
      2 par	une	personne
      2 par	les	innovations
      2 Panorama	des	lois
      2 ouverture	de	la
      2 organes	et	l
      2 opposants	au	mariage
      2 officier	de	l
      2 n	a	pas
      2 médicales	qui	impliquent
      2 médicalement	assistée	PMA
      2 médicalement	assistée	les
      2 mariage	la	loi
      2 manipulation	du	vivant
      2 loiProjet	de	texte
      2 loiProjet	de	loiProjet
      2 loi	ouvrant	le
      2 loi	de	bioéthiqueBioéthiqueQuestions
      2 les	pratiques	du
      2 les	interventions	sur
      2 les	innovations	médicales
      2 les	greffes	d
      2 les	expérimentations	sur
      2 législatif	déposé	au
      2 légale	et	administrative
      2 le	président	de
      2 le	patrimoine	génétique
      2 le	débat	sur
      2 la	vie	publique
      2 la	toile	publique
      2 la	réforme	de
      2 la	PMA	aux
      2 l	utilisation	des
      2 l	ouverture	de
      2 l	officier	de
      2 l	initiative	du
      2 l	information	légale
